descricao,contacontabil,desc_contacontabil
recebimento 477 agencia marketing aurea ltda 11 valor 192.00 d,675,banco cora
recebimento 457 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 474 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
recebimento 456 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 479 nion acessoria 11 valor 195.00 d,675,banco cora
recebimento 475 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 455 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 3600.00 c,675,banco cora
recebimento 453 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 480 ana luiza gevaerd 11 valor 1000.00 d,675,banco cora
recebimento 481 vs transportes ltda 11 valor 1100.00 d,675,banco cora
extorno distribuicao antecipada lucros a socia lara cristina kreusch valor 110.00 d,675,banco cora
recebimento 473 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 3000.00 c,675,banco cora
pagamento alvara valor 212.47 c,675,banco cora
pagamento diego valor 120.00 c,675,banco cora
pagamento ifood valor 149.80 c,675,banco cora
pagamento inss mes 032025 valor 166.98 c,675,banco cora
recebimento 482 beaver comunicacao ltda 11 valor 835.00 d,675,banco cora
pagamento simples 032025 valor 717.84 c,675,banco cora
recebimento 478 amma comercial ltda 11 valor 815.00 d,675,banco cora
referente a juros 478 amma comercial ltda 11 valor 26.07 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 500.00 c,675,banco cora
cooper valor 20.07 c,675,banco cora
embalagens valor 33.60 c,675,banco cora
recebimento 483 vs transportes ltda 11 valor 260.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 550.00 c,675,banco cora
recebimento 472 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 495 beaver comunicacao ltda 11 valor 1260.00 d,675,banco cora
recebimento 494 beaver comunicacao ltda 11 valor 300.00 d,675,banco cora
recebimento 491 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 468 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 487 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 490 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
recebimento 470 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 493 ana luiza gevaerd 11 valor 1000.00 d,675,banco cora
recebimento 489 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
pagamento 4279 colinear contabilidade e financas ltda 11 valor 297.00 c,675,banco cora
pagamento prolabore mes 042025 valor 1351.02 c,675,banco cora
pagamento inss mes 042025 valor 166.98 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 1135.29 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 1780.00 c,675,banco cora
recebimento 492 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
recebimento 485 associacao scangels 11 valor 580.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 121.18 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 2320.00 c,675,banco cora
pagamento simples 042025 valor 638.82 c,675,banco cora
recebimento 508 eloyse konell gestao e consultoria 11 valor 680.00 d,675,banco cora
recebimento 498 associacao scangels 11 valor 580.00 d,675,banco cora
recebimento 488 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 471 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 484 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 504 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 486 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 503 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
recebimento 506 ana luiza gevaerd 11 valor 1000.00 d,675,banco cora
recebimento 505 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
pagamento 4679 colinear contabilidade e financas ltda 11 valor 297.00 c,675,banco cora
recebimento 502 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
pagamento simples 052025 valor 545.70 c,675,banco cora
pagamento inss mes 052025 valor 166.98 c,675,banco cora
pagamento prolabore mes 052025 valor 1351.02 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 2569.30 c,675,banco cora
recebimento 507 beaver comunicacao ltda 11 valor 735.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 735.00 c,675,banco cora
recebimento 496 vetter empreendimentos ltda 11 valor 285.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 285.00 c,675,banco cora
recebimento 510 vetter empreendimentos ltda 11 valor 670.00 d,675,banco cora
recebimento 522 eloyse konell gestao e consultoria 11 valor 680.00 d,675,banco cora
recebimento 513 associacao scangels 11 valor 580.00 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 1930.00 c,675,banco cora
recebimento 523 new plan construtora ltda 11 valor 794.00 d,675,banco cora
recebimento 520 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
pagamento 5064 colinear contabilidade e financas ltda 11 valor 297.00 c,675,banco cora
pagamento prolabore mes 062025 valor 1351.02 c,675,banco cora
embalagens valor 14.19 c,675,banco cora
embalagens valor 22.00 c,675,banco cora
recebimento 512 lince participacoes e empreendimentos ltda 11 valor 2260.00 d,675,banco cora
recebimento 521 ana luiza gevaerd 11 valor 1000.00 d,675,banco cora
recebimento 518 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
recebimento 500 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 499 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 519 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 501 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 517 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
pagamento simples 062025 valor 578.09 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 6800.00 c,675,banco cora
pagamento inss mes 062025 valor 166.98 c,675,banco cora
prestacao servicos conforme nf 466 clientes diversos valor 889.00 d,504,clientes
recebimento 466 clientes diversos 11 valor 889.00 c,504,clientes
prestacao servicos conforme nf 431 lince participacoes e empreendimentos ltda valor 480.00 d,3001,lince participacoes e empreendimentos ltda
recebimento 419 lince participacoes e empreendimentos ltda 11 valor 480.00 c,3001,lince participacoes e empreendimentos ltda
prestacao servicos conforme nf 441 lince participacoes e empreendimentos ltda valor 480.00 d,3001,lince participacoes e empreendimentos ltda
