07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,029.58",,,,"9,110.79d",,,,,,"9,110.79d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,360.00",,,,"12,470.79d",,,,,,"12,470.79d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,600.00",,,,"16,070.79d",,,,,,"16,070.79d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,725.00",,,,"20,795.79d",,,,,,"20,795.79d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,000.00",,,,"22,795.79d",,,,,,"22,795.79d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,333.33,,,,"23,129.12d",,,,,,"23,129.12d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,700.00",,,,"25,829.12d",,,,,,"25,829.12d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,990.00",,,,"29,819.12d",,,,,,"29,819.12d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"6,090.00",,,,"35,909.12d",,,,,,"35,909.12d",,
07/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,180.00,,,,"36,089.12d",,,,,,"36,089.12d",,
10/01/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,5075,,,,"3,600.00",,"32,489.12d",,,,,,"32,489.12d",,
15/01/2025,,,,,ESTORNO HDI SEGUROS ,,,,,,,,,,5074,,,,"1,164.16",,"31,324.96d",,,,,,"31,324.96d",,
15/01/2025,,,,,PAGAMENTO PARTICIPAÇÕES LUCRO MÊS 01/2025  ,,,,,,,,,,684,,,,"26,798.33",,"4,526.63d",,,,,,"4,526.63d",,
15/01/2025,,,,,PAGAMENTO UNIFIQUE,,,,,,,,,,555,,,,169.90,,"4,356.73d",,,,,,"4,356.73d",,
17/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"4,456.73d",,,,,,"4,456.73d",,
24/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,037.02",,,,"7,493.75d",,,,,,"7,493.75d",,
24/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,126.32,,,,"7,620.07d",,,,,,"7,620.07d",,
24/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"10,842.18",,,,"18,462.25d",,,,,,"18,462.25d",,
24/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"18,562.25d",,,,,,"18,562.25d",,
24/01/2025,,,,,PAGAMENTO DE RESCISÃO TRABALHISTA ANA CAROLINE ALMEIDA COSTA  ,,,,,,,,,,512,,,,"10,842.18",,"7,720.07d",,,,,,"7,720.07d",,
28/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,35.00,,,,"7,755.07d",,,,,,"7,755.07d",,
30/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,150.00,,,,"7,905.07d",,,,,,"7,905.07d",,
30/01/2025,,,,,AJUSTE SALDO ,,,,,,,,,,613,,"15,479.09",,,,"23,384.16d",,,,,,"23,384.16d",,
31/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,58.20,,,,"23,442.36d",,,,,,"23,442.36d",,
31/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"23,542.36d",,,,,,"23,542.36d",,
03/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,480.00",,,,"1,480.00d",,,,,,"25,022.36d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,309.33,,,,"1,789.33d",,,,,,"25,331.69d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"3,632.10d",,,,,,"27,174.46d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,278.07",,,,"5,910.17d",,,,,,"29,452.53d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,067.28",,,,"8,977.45d",,,,,,"32,519.81d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,486.69",,,,"12,464.14d",,,,,,"36,006.50d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,850.00,,,,"13,314.14d",,,,,,"36,856.50d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,915.06",,,,"17,229.20d",,,,,,"40,771.56d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,750.57",,,,"18,979.77d",,,,,,"42,522.13d",,
04/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,975.24",,,,"23,955.01d",,,,,,"47,497.37d",,
05/02/2025,,,,,PAGAMENTO DE FOLHA MÊS 01/2025  ,,,,,,,,,,187,,,,"21,315.68",,"2,639.33d",,,,,,"26,181.69d",,
05/02/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 01/2025  ,,,,,,,,,,188,,,,"2,702.04",,62.71c,,,,,,"23,479.65d",,
05/02/2025,,,,,PAGAMENTO ESTAGIÁRIOS MÊS 01/2025  ,,,,,,,,,,584,,,,850.00,,912.71c,,,,,,"22,629.65d",,
07/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,812.71c,,,,,,"22,729.65d",,
07/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,90.76,,,,721.95c,,,,,,"22,820.41d",,
07/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,198.55,,,,523.40c,,,,,,"23,018.96d",,
10/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,156.00,,,,367.40c,,,,,,"23,174.96d",,
12/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,38.04,,,,329.36c,,,,,,"23,213.00d",,
13/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,785.97,,,,456.61d,,,,,,"23,998.97d",,
14/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,156.00,,,,612.61d,,,,,,"24,154.97d",,
14/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,712.61d,,,,,,"24,254.97d",,
14/02/2025,,,,,PAGAMENTO DE FÉRIAS AMANDA CRISTINA FREIBERGER ,,,,,,,,,,529,,,,785.97,,73.36c,,,,,,"23,469.00d",,
17/02/2025,,,,,PAGAMENTO UNIFIQUE,,,,,,,,,,555,,,,169.90,,243.26c,,,,,,"23,299.10d",,
20/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,190.00",,,,946.74d,,,,,,"24,489.10d",,
20/02/2025,,,,,PAGAMENTO DE RESCISÃO TRABALHISTA Camili Naara Starosky  ,,,,,,,,,,512,,,,"1,190.00",,243.26c,,,,,,"23,299.10d",,
21/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,143.26c,,,,,,"23,399.10d",,
25/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,293.00,,,,149.74d,,,,,,"23,692.10d",,
27/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"8,090.00",,,,"8,239.74d",,,,,,"31,782.10d",,
28/02/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"8,339.74d",,,,,,"31,882.10d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"15,000.00",,,,"15,000.00d",,,,,,"46,882.10d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,969.26",,,,"17,969.26d",,,,,,"49,851.36d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,949.67,,,,"18,918.93d",,,,,,"50,801.03d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,964.85",,,,"22,883.78d",,,,,,"54,765.88d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,721.44",,,,"24,605.22d",,,,,,"56,487.32d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,479.77",,,,"27,084.99d",,,,,,"58,967.09d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"29,109.76d",,,,,,"60,991.86d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,721.44",,,,"30,831.20d",,,,,,"62,713.30d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,763.31",,,,"33,594.51d",,,,,,"65,476.61d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,932.32",,,,"38,526.83d",,,,,,"70,408.93d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,15.00,,,,"38,541.83d",,,,,,"70,423.93d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,161.84,,,,"38,703.67d",,,,,,"70,585.77d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,485.46",,,,"42,189.13d",,,,,,"74,071.23d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,793.33,,,,"42,982.46d",,,,,,"74,864.56d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,20.00,,,,"43,002.46d",,,,,,"74,884.56d",,
05/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,500.00",,,,"44,502.46d",,,,,,"76,384.56d",,
05/03/2025,,,,,PAGAMENTO DE FOLHA MÊS 02/2025  ,,,,,,,,,,187,,,,"27,012.29",,"17,490.17d",,,,,,"49,372.27d",,
05/03/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 02/2025  ,,,,,,,,,,188,,,,"2,702.04",,"14,788.13d",,,,,,"46,670.23d",,
05/03/2025,,,,,PAGAMENTO ESTAGIÁRIOS MÊS 02/2025  ,,,,,,,,,,584,,,,793.33,,"13,994.80d",,,,,,"45,876.90d",,
06/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,000.00",,,,"15,994.80d",,,,,,"47,876.90d",,
07/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"16,094.80d",,,,,,"47,976.90d",,
07/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,161.99,,,,"16,256.79d",,,,,,"48,138.89d",,
14/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"16,356.79d",,,,,,"48,238.89d",,
21/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,500.00",,,,"18,856.79d",,,,,,"50,738.89d",,
21/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"18,956.79d",,,,,,"50,838.89d",,
24/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"5,000.00",,,,"23,956.79d",,,,,,"55,838.89d",,
25/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,15.99,,,,"23,972.78d",,,,,,"55,854.88d",,
28/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"24,072.78d",,,,,,"55,954.88d",,
31/03/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"5,150.56",,,,"29,223.34d",,,,,,"61,105.44d",,
31/03/2025,,,,,PAGAMENTO DE FÉRIAS VINICIUS FUHR DE BORBA ,,,,,,,,,,529,,,,"5,150.56",,"24,072.78d",,,,,,"55,954.88d",,
01/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,500.00",,,,"1,500.00d",,,,,,"57,454.88d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,995.75",,,,"6,495.75d",,,,,,"62,450.63d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,485.46",,,,"9,981.21d",,,,,,"65,936.09d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"11,823.98d",,,,,,"67,778.86d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,734.09",,,,"14,558.07d",,,,,,"70,512.95d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"16,582.84d",,,,,,"72,537.72d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"18,425.61d",,,,,,"74,380.49d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"20,450.38d",,,,,,"76,405.26d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,479.77",,,,"22,930.15d",,,,,,"78,885.03d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,933.27",,,,"26,863.42d",,,,,,"82,818.30d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,486.69",,,,"30,350.11d",,,,,,"86,304.99d",,
02/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"15,000.00",,,,"45,350.11d",,,,,,"101,304.99d",,
03/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,558.34,,,,"45,908.45d",,,,,,"101,863.33d",,
03/04/2025,,,,,PAGAMENTO DE RESCISÃO TRABALHISTA ALYSON CHRISTIAN CORREA  ,,,,,,,,,,512,,,,558.34,,"45,350.11d",,,,,,"101,304.99d",,
04/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"45,450.11d",,,,,,"101,404.99d",,
05/04/2025,,,,,PAGAMENTO DE FOLHA MÊS 03/2025  ,,,,,,,,,,187,,,,"28,850.11",,"16,600.00d",,,,,,"72,554.88d",,
05/04/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 03/2025  ,,,,,,,,,,188,,,,"2,702.04",,"13,897.96d",,,,,,"69,852.84d",,
10/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,500.00",,,,"18,397.96d",,,,,,"74,352.84d",,
11/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,481.65,,,,"18,879.61d",,,,,,"74,834.49d",,
11/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,484.07,,,,"19,363.68d",,,,,,"75,318.56d",,
11/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"19,463.68d",,,,,,"75,418.56d",,
17/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"19,563.68d",,,,,,"75,518.56d",,
25/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"19,663.68d",,,,,,"75,618.56d",,
28/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,111.00,,,,"19,774.68d",,,,,,"75,729.56d",,
29/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,187.77,,,,"19,962.45d",,,,,,"75,917.33d",,
29/04/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,700.00,,,,"20,662.45d",,,,,,"76,617.33d",,
02/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,500.00",,,,"1,500.00d",,,,,,"78,117.33d",,
02/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"1,600.00d",,,,,,"78,217.33d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,871.96",,,,"4,471.96d",,,,,,"81,089.29d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,505.77",,,,"7,977.73d",,,,,,"84,595.06d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,856.08",,,,"11,833.81d",,,,,,"88,451.14d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,185.00,,,,"12,018.81d",,,,,,"88,636.14d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"14,043.58d",,,,,,"90,660.91d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,504.54",,,,"17,548.12d",,,,,,"94,165.45d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"19,572.89d",,,,,,"96,190.22d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"21,415.66d",,,,,,"98,032.99d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"23,258.43d",,,,,,"99,875.76d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,714.31",,,,"25,972.74d",,,,,,"102,590.07d",,
05/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,564.74",,,,"29,537.48d",,,,,,"106,154.81d",,
05/05/2025,,,,,PAGAMENTO DE FOLHA MÊS 04/2025  ,,,,,,,,,,187,,,,"27,937.48",,"1,600.00d",,,,,,"78,217.33d",,
05/05/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 04/2025  ,,,,,,,,,,188,,,,"2,702.04",,"1,102.04c",,,,,,"75,515.29d",,
06/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,40.00,,,,"1,062.04c",,,,,,"75,555.29d",,
09/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,962.04c,,,,,,"75,655.29d",,
15/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,569.23",,,,607.19d,,,,,,"77,224.52d",,
16/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,707.19d,,,,,,"77,324.52d",,
22/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,400.00,,,,"1,107.19d",,,,,,"77,724.52d",,
23/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"1,207.19d",,,,,,"77,824.52d",,
30/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"8,325.00",,,,"9,532.19d",,,,,,"86,149.52d",,
30/05/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"9,632.19d",,,,,,"86,249.52d",,
03/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,103.75",,,,"2,103.75d",,,,,,"88,353.27d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,778.44",,,,"4,882.19d",,,,,,"91,131.71d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,957.16",,,,"9,839.35d",,,,,,"96,088.87d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"11,864.12d",,,,,,"98,113.64d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"13,888.89d",,,,,,"100,138.41d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,024.77",,,,"15,913.66d",,,,,,"102,163.18d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,924.08",,,,"19,837.74d",,,,,,"106,087.26d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,504.54",,,,"23,342.28d",,,,,,"109,591.80d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,401.27",,,,"25,743.55d",,,,,,"111,993.07d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,842.77",,,,"27,586.32d",,,,,,"113,835.84d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,910.30",,,,"30,496.62d",,,,,,"116,746.14d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,297.77",,,,"32,794.39d",,,,,,"119,043.91d",,
05/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,25.98,,,,"32,820.37d",,,,,,"119,069.89d",,
05/06/2025,,,,,PAGAMENTO DE FOLHA MÊS 05/2025  ,,,,,,,,,,187,,,,"30,690.64",,"2,129.73d",,,,,,"88,379.25d",,
05/06/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 05/2025  ,,,,,,,,,,188,,,,"2,702.04",,572.31c,,,,,,"85,677.21d",,
06/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,472.31c,,,,,,"85,777.21d",,
09/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,216.85,,,,255.46c,,,,,,"85,994.06d",,
09/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,216.85,,,,38.61c,,,,,,"86,210.91d",,
10/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,18.30,,,,20.31c,,,,,,"86,229.21d",,
12/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,79.69d,,,,,,"86,329.21d",,
17/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,339.02",,,,"3,418.71d",,,,,,"89,668.23d",,
20/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"3,518.71d",,,,,,"89,768.23d",,
26/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,16.15,,,,"3,534.86d",,,,,,"89,784.38d",,
27/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,100.00,,,,"3,634.86d",,,,,,"89,884.38d",,
30/06/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"7,326.00",,,,"10,960.86d",,,,,,"97,210.38d",,
30/06/2025,,,,,AJUSTE DE SALDO ,,,,,,,,,,613,,366.28,,,,"11,327.14d",,,,,,"97,576.66d",,
30/06/2025,,,,,DISTRIBUIÇÃO DE LUCROS À EDSON FELER,,,,,,,,,,266,,,,"39,972.24",,"28,645.10c",,,,,,"57,604.42d",,
30/06/2025,,,,,DISTRIBUIÇÃO DE LUCROS À EDSON EGER,,,,,,,,,,266,,,,"39,972.24",,"68,617.34c",,,,,,"17,632.18d",,
30/06/2025,,,,,DISTRIBUIÇÃO DE LUCROS À EDSON EGER,,,,,,,,,,266,,,,"8,816.09",,"77,433.43c",,,,,,"8,816.09d",,
30/06/2025,,,,,DISTRIBUIÇÃO DE LUCROS À EDSON FELER,,,,,,,,,,266,,,,"8,816.09",,"86,249.52c",,,,,,0.00,,
Conta:,,613,,,,,-,,1.1.1.02.0008,,,,SICOOB INDAIAL 58.202-6,,,,,,,,,,,,,,,,
,,,,,SALDO ANTERIOR,,,,,,,,,,,,,,,,,,,,,,"1,626.43d",,
10/01/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS,,,,,,,,,,5074,,"2,000.00",,,,"2,000.00d",,,,,,"3,626.43d",,
17/01/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS,,,,,,,,,,5074,,"2,000.00",,,,"4,000.00d",,,,,,"5,626.43d",,
